,shortcode,url,category
123,mastodance,https://tooting.ch/system/custom_emojis/images/000/014/497/original/78eba7ebb55532cc.png,
124,blobcattilt,https://tooting.ch/system/custom_emojis/images/000/009/264/original/fdfe15a671c8b823.png,Blobcat Emoji
125,gfl_g36exhausted,https://tooting.ch/system/custom_emojis/images/000/068/901/original/5d9a5d902675b088.png,Girls' Frontline Stickers by BulletPuncher-98
126,thaenkin,https://tooting.ch/system/custom_emojis/images/000/009/258/original/cab988529788d974.png,Memes
127,unverified,https://tooting.ch/system/custom_emojis/images/000/009/259/original/e682b22b1e176cbc.png,Logos and Symbols
128,thinknyan,https://tooting.ch/system/custom_emojis/images/000/009/269/original/6e21302959231d7b.png,Memes
129,blobcatblush,https://tooting.ch/system/custom_emojis/images/000/009/262/original/d567517ad0e50565.png,Blobcat Emoji
130,meow,https://tooting.ch/system/custom_emojis/images/000/009/265/original/aab5506c1df18853.png,Blobcat Emoji
131,meowBox,https://tooting.ch/system/custom_emojis/images/000/009/266/original/3b18f6b3ac495860.png,Blobcat Emoji
132,blobcatbreadpeek,https://tooting.ch/system/custom_emojis/images/000/009/273/original/cbbcec65488d9c6d.png,Blobcat Emoji
133,blobcatknife,https://tooting.ch/system/custom_emojis/images/000/009/278/original/76f45d41d3abc5a2.png,Blobcat Emoji
134,meowGiggle,https://tooting.ch/system/custom_emojis/images/000/009/267/original/53006e2b46e33cf6.png,Blobcat Emoji
135,ablobgrimace,https://tooting.ch/system/custom_emojis/images/000/009/270/original/17412768aeb57846.png,Blob Emoji
136,blobcatcamera,https://tooting.ch/system/custom_emojis/images/000/009/274/original/094c87df605db55b.png,Blobcat Emoji
137,abloblamp,https://tooting.ch/system/custom_emojis/images/000/009/271/original/dc2bd1dc1405e979.png,Blob Emoji
138,ablobpats,https://tooting.ch/system/custom_emojis/images/000/009/272/original/1fb751e946f97c50.png,Blob Emoji
139,blobcatmelt,https://tooting.ch/system/custom_emojis/images/000/009/275/original/215505c701e763ab.png,Blobcat Emoji
140,blobcatpats,https://tooting.ch/system/custom_emojis/images/000/009/277/original/8758b75c8c8c8d52.png,Blobcat Emoji
141,blobhammer,https://tooting.ch/system/custom_emojis/images/000/009/280/original/0c26193e0fb58590.png,Blob Emoji
142,bloblamp,https://tooting.ch/system/custom_emojis/images/000/009/281/original/e79a8811307f25ba.png,Blob Emoji
143,blobnervous,https://tooting.ch/system/custom_emojis/images/000/009/282/original/4ff4b83480301663.png,Blob Emoji
144,blobonfire,https://tooting.ch/system/custom_emojis/images/000/009/283/original/9ae3fa19d48c9ef1.png,Blob Emoji
145,blobuwuevil,https://tooting.ch/system/custom_emojis/images/000/009/285/original/a1e1a5c43c0e1a8d.png,Blob Emoji
146,beetjoy,https://tooting.ch/system/custom_emojis/images/000/145/008/original/05e61fbb400cbdd2.png,
147,beetthinking,https://tooting.ch/system/custom_emojis/images/000/145/009/original/41150e5b09a900c4.png,
148,beetheart_eyes,https://tooting.ch/system/custom_emojis/images/000/145/010/original/77372192a9fd8786.png,
149,beetstar_struck,https://tooting.ch/system/custom_emojis/images/000/145/011/original/e8cbd0682ecd0280.png,
150,blobmeh,https://tooting.ch/system/custom_emojis/images/000/024/650/original/d267db075c5fedd7.png,Blob Emoji
151,blobcatglowsticks,https://tooting.ch/system/custom_emojis/images/000/017/378/original/a2c5b54cf118d42c.png,Blobcat Emoji
152,blobstickred,https://tooting.ch/system/custom_emojis/images/000/017/379/original/e6650f4374732534.png,Blob Emoji
153,blobstickwhite,https://tooting.ch/system/custom_emojis/images/000/017/380/original/c9b6716c06cec543.png,Blob Emoji
154,conga_parrot,https://tooting.ch/system/custom_emojis/images/000/017/733/original/819f4d041bbd40b2.png,Memes
155,blobcatsabakan,https://tooting.ch/system/custom_emojis/images/000/114/644/original/4f5ac628df345c71.png,Blobcat Emoji
156,sabakan,https://tooting.ch/system/custom_emojis/images/000/114/643/original/79703b2272345c2d.png,Memes
157,blobcatnuu,https://tooting.ch/system/custom_emojis/images/000/017/945/original/aaad60b4cbf5c76d.png,Blobcat Emoji
158,blobtongue,https://tooting.ch/system/custom_emojis/images/000/017/946/original/e53bba69cb97c1e1.png,Blob Emoji
159,blobthonkang,https://tooting.ch/system/custom_emojis/images/000/017/947/original/aa4b42dd563248cd.png,Blob Emoji
160,blob_gnikniht,https://tooting.ch/system/custom_emojis/images/000/017/950/original/0f251b5c3e8aa27b.png,Blob Emoji
161,blob0w0,https://tooting.ch/system/custom_emojis/images/000/017/949/original/ffaa16907efa07bb.png,Blob Emoji
162,menacing,https://tooting.ch/system/custom_emojis/images/000/019/426/original/0785eaf7f7d70742.png,Memes
163,blobkirby,https://tooting.ch/system/custom_emojis/images/000/019/431/original/5220861d96637a27.png,Blob Emoji
164,blobscream,https://tooting.ch/system/custom_emojis/images/000/025/777/original/1af87abd388b2126.png,Blob Emoji
165,blobcool,https://tooting.ch/system/custom_emojis/images/000/009/276/original/2a97c1a4602c24eb.png,Blob Emoji
166,blobcheerL,https://tooting.ch/system/custom_emojis/images/000/025/885/original/ee47ce3b1437f919.png,Blob Emoji
167,blobcommieflag,https://tooting.ch/system/custom_emojis/images/000/034/094/original/4933ebfde3c742b9.png,Blob Emoji
168,blobfacepalm,https://tooting.ch/system/custom_emojis/images/000/009/208/original/699ac5f593bd6f5e.png,Blob Emoji
169,blobdab,https://tooting.ch/system/custom_emojis/images/000/009/232/original/6461129330ef5554.png,Blob Emoji
170,blobcheerR,https://tooting.ch/system/custom_emojis/images/000/025/886/original/6023aaad63b1b005.png,Blob Emoji
